"config_id","config_label","sigma","rep","method","method_label","grid_label","rho_step","theta_step","pred_rho","pred_theta","rho_mse","theta_mse","reconstructed_mean_distance","processed_active_pixels"
"diag_neg_full","Отрицательная диагональ",0.05,2,"wiener","Wiener","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,4628
"diag_neg_full","Отрицательная диагональ",0.05,2,"wiener","Wiener","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,4628
"diag_neg_full","Отрицательная диагональ",0.05,2,"wiener","Wiener","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,4628
"diag_neg_full","Отрицательная диагональ",0.05,2,"quantile_09","Quantile 0.9","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,1000
"diag_neg_full","Отрицательная диагональ",0.05,2,"quantile_09","Quantile 0.9","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,1000
"diag_neg_full","Отрицательная диагональ",0.05,2,"quantile_09","Quantile 0.9","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,1000
"diag_neg_full","Отрицательная диагональ",0.05,3,"cssa_row_row","CSSA ROW-ROW","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,1927
"diag_neg_full","Отрицательная диагональ",0.05,3,"cssa_row_row","CSSA ROW-ROW","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,1927
"diag_neg_full","Отрицательная диагональ",0.05,3,"cssa_row_row","CSSA ROW-ROW","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,1927
"diag_neg_full","Отрицательная диагональ",0.05,3,"bm3d","BM3D","$2; 0.02$",2,0.02,72,0.8,0.338974422852812,0.00021321363216762,0.5939696961967,1558
"diag_neg_full","Отрицательная диагональ",0.05,3,"bm3d","BM3D","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,1558
"diag_neg_full","Отрицательная диагональ",0.05,3,"bm3d","BM3D","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,1558
"diag_neg_full","Отрицательная диагональ",0.05,3,"median","Median","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,4824
"diag_neg_full","Отрицательная диагональ",0.05,3,"median","Median","$1; 0.01$",1,0.01,72,0.8,0.338974422852812,0.00021321363216762,0.5939696961967,4824
"diag_neg_full","Отрицательная диагональ",0.05,3,"median","Median","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,4824
"diag_neg_full","Отрицательная диагональ",0.05,3,"wiener","Wiener","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,4519
"diag_neg_full","Отрицательная диагональ",0.05,3,"wiener","Wiener","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,4519
"diag_neg_full","Отрицательная диагональ",0.05,3,"wiener","Wiener","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,4519
"diag_neg_full","Отрицательная диагональ",0.05,3,"quantile_09","Quantile 0.9","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,1000
"diag_neg_full","Отрицательная диагональ",0.05,3,"quantile_09","Quantile 0.9","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,1000
"diag_neg_full","Отрицательная диагональ",0.05,3,"quantile_09","Quantile 0.9","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,1000
"diag_neg_full","Отрицательная диагональ",0.05,4,"cssa_row_row","CSSA ROW-ROW","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,1998
"diag_neg_full","Отрицательная диагональ",0.05,4,"cssa_row_row","CSSA ROW-ROW","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,1998
"diag_neg_full","Отрицательная диагональ",0.05,4,"cssa_row_row","CSSA ROW-ROW","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,1998
"diag_neg_full","Отрицательная диагональ",0.05,4,"bm3d","BM3D","$2; 0.02$",2,0.02,70,0.8,2.01011402221799,0.00021321363216762,1.42135605511235,1691
"diag_neg_full","Отрицательная диагональ",0.05,4,"bm3d","BM3D","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,1691
"diag_neg_full","Отрицательная диагональ",0.05,4,"bm3d","BM3D","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,1691
"diag_neg_full","Отрицательная диагональ",0.05,4,"median","Median","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,4789
"diag_neg_full","Отрицательная диагональ",0.05,4,"median","Median","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,4789
"diag_neg_full","Отрицательная диагональ",0.05,4,"median","Median","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,4789
"diag_neg_full","Отрицательная диагональ",0.05,4,"wiener","Wiener","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,4399
"diag_neg_full","Отрицательная диагональ",0.05,4,"wiener","Wiener","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,4399
"diag_neg_full","Отрицательная диагональ",0.05,4,"wiener","Wiener","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,4399
"diag_neg_full","Отрицательная диагональ",0.05,4,"quantile_09","Quantile 0.9","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,1000
"diag_neg_full","Отрицательная диагональ",0.05,4,"quantile_09","Quantile 0.9","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,1000
"diag_neg_full","Отрицательная диагональ",0.05,4,"quantile_09","Quantile 0.9","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,1000
"diag_neg_full","Отрицательная диагональ",0.05,5,"cssa_row_row","CSSA ROW-ROW","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,2134
"diag_neg_full","Отрицательная диагональ",0.05,5,"cssa_row_row","CSSA ROW-ROW","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,2134
"diag_neg_full","Отрицательная диагональ",0.05,5,"cssa_row_row","CSSA ROW-ROW","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,2134
"diag_neg_full","Отрицательная диагональ",0.05,5,"bm3d","BM3D","$2; 0.02$",2,0.02,70,0.84,2.01011402221799,0.00298136056037175,2.05060966544099,1816
"diag_neg_full","Отрицательная диагональ",0.05,5,"bm3d","BM3D","$1; 0.01$",1,0.01,69,0.8,5.84568382190058,0.00021321363216762,2.49651986010761,1816
"diag_neg_full","Отрицательная диагональ",0.05,5,"bm3d","BM3D","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,1816
"diag_neg_full","Отрицательная диагональ",0.05,5,"median","Median","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,5005
"diag_neg_full","Отрицательная диагональ",0.05,5,"median","Median","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,5005
"diag_neg_full","Отрицательная диагональ",0.05,5,"median","Median","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,5005
"diag_neg_full","Отрицательная диагональ",0.05,5,"wiener","Wiener","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,4586
"diag_neg_full","Отрицательная диагональ",0.05,5,"wiener","Wiener","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,4586
"diag_neg_full","Отрицательная диагональ",0.05,5,"wiener","Wiener","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,4586
"diag_neg_full","Отрицательная диагональ",0.05,5,"quantile_09","Quantile 0.9","$2; 0.02$",2,0.02,72,0.78,0.338974422852812,2.91401680655501e-05,0.346482322781408,1000
"diag_neg_full","Отрицательная диагональ",0.05,5,"quantile_09","Quantile 0.9","$1; 0.01$",1,0.01,71,0.79,0.1745442225354,2.11769001165851e-05,0.353553390593274,1000
"diag_neg_full","Отрицательная диагональ",0.05,5,"quantile_09","Quantile 0.9","$0.5; 0.005$",0.5,0.005,71.5,0.785,0.00675932269410605,1.58534091067531e-07,0,1000
"steep_full","Крутая прямая",0.05,1,"cssa_row_row","CSSA ROW-ROW","$2; 0.02$",2,0.02,0,2.68,0.2,4.2228417412524e-06,0.66856173872721,2055
"steep_full","Крутая прямая",0.05,1,"cssa_row_row","CSSA ROW-ROW","$1; 0.01$",1,0.01,0,2.67,0.2,6.31237335209922e-05,0.225865452272706,2055
"steep_full","Крутая прямая",0.05,1,"cssa_row_row","CSSA ROW-ROW","$0.5; 0.005$",0.5,0.005,0,2.675,0.2,8.67328763111984e-06,0.225865452272706,2055
"steep_full","Крутая прямая",0.05,1,"bm3d","BM3D","$2; 0.02$",2,0.02,0,2.66,0.2,0.000322024625300725,0.704700211090843,1152
"steep_full","Крутая прямая",0.05,1,"bm3d","BM3D","$1; 0.01$",1,0.01,0,2.66,0.2,0.000322024625300725,0.704700211090843,1152
"steep_full","Крутая прямая",0.05,1,"bm3d","BM3D","$0.5; 0.005$",0.5,0.005,0,2.675,0.2,8.67328763111984e-06,0.225865452272706,1152
"steep_full","Крутая прямая",0.05,1,"median","Median","$2; 0.02$",2,0.02,0,2.66,0.2,0.000322024625300725,0.704700211090843,4779
"steep_full","Крутая прямая",0.05,1,"median","Median","$1; 0.01$",1,0.01,-1,2.68,0.305572809000084,4.2228417412524e-06,0.223606797749979,4779
"steep_full","Крутая прямая",0.05,1,"median","Median","$0.5; 0.005$",0.5,0.005,100,1.57,10089.6427191,1.22754222182929,22.3606797749979,4779
